treatment_id,site_id,treatment_date,method,dosage_or_description,outcome,follow_up_required,notes
bdc26153-400e-5408-b753-9a26649a3e49,eca073c0-5e52-579f-bcec-8c21817761a0,2020-11-20,manual removal (skimming),Boom containment and skimmer deployed over 3 days; 6.1 tonnes biomass removed from recreational foreshore,partial,true,Nodularia spumigena surface scum cleared from beach zone; broader estuary bloom persisted; shellfish harvesting closure maintained; toxin testing required
aa7a0c3c-56c4-5ac5-aca4-d378af4e919c,eca073c0-5e52-579f-bcec-8c21817761a0,2021-12-03,nutrient reduction,Sewage treatment plant upgrade to tertiary phosphorus removal; effluent TP target < 0.5 mg/L,ongoing,true,Treatment plant upgrade completed November 2021; monitoring program tracking phosphorus load to estuary quarterly; bloom frequency to be assessed over 3 years
8a14f1a3-e8b5-5d4a-bbd5-cd643e1ad79e,eca073c0-5e52-579f-bcec-8c21817761a0,2022-11-15,clay flocculation,25 g/m2 modified clay applied over 5 ha algal mat area by boat,successful,false,Ulva lactuca green tide mats settled within 72 hours; anoxia risk to seagrass beds averted; bottom water oxygen checked 7 days post-treatment
7094e8e6-3eb5-5565-9b1c-bdd14b3da0d8,eca073c0-5e52-579f-bcec-8c21817761a0,2024-12-01,algaecide application (copper sulfate),0.2 mg/L Cu2+ in enclosed lagoon section; spray application,unsuccessful,true,Prymnesium parvum golden algae showed low copper sensitivity; alternative treatment with hydrogen peroxide being assessed; fish kill risk elevated
15ee1c4b-b1b9-5f42-8a5c-0bb49cee7249,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2020-10-08,barley straw application,35 g/m2 in mesh bales at 12 deployment points across wetland,partial,true,Spirogyra filamentous green algae growth suppressed in shallow margins; Lyngbya mat growth reduced but not eliminated in deeper zones; reapplication after 6 weeks recommended
f8ffc4be-48ee-5651-add2-ccb41d1963fa,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2021-09-22,manual removal (harvesting),Manual raking and mechanical suction harvester; 2.8 tonnes Cladophora mat removed,successful,false,Recreational amenity restored; biomass disposed at composting facility 500 m from water body; DO monitoring showed no post-removal crash; follow-up inspection at 4 weeks
4ee71eb6-d590-5dd8-a593-712b02a07120,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2022-10-14,nutrient reduction,Stormwater constructed wetland upgrade; 600 m vegetated buffer replanted with native reeds,ongoing,true,Habitat restoration combined with nutrient interception; Lyngbya majuscula density tracked quarterly; macrophyte competition for nutrients expected to reduce bloom risk long-term
d2c23653-bdfb-5e3f-a791-74a6db4e1172,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2024-09-18,mechanical aeration,Solar-powered surface aerator 1.2 kW/ha; continuous operation April-October,partial,true,DO in shallow water body improved from 4.2 to 7.1 mg/L; cyanobacterial mats reduced; anaerobic sediment nutrient release diminished; annual sediment assessment recommended
7e23887a-e03f-5ce5-bf68-4263ca3dbfdb,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2020-05-06,clay flocculation,45 g/m2 PAC-modified clay across 20 ha bloom area in enclosed bay section,successful,false,Karenia brevis cells flocculated and settled within 36 hours; brevetoxin monitoring at beach cleared within 5 days; shellfish harvesting reopened following health authority testing
d6d111dd-e666-5ddf-889e-8e8c5c683949,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2021-04-19,manual removal (skimming),Boom deployment across bay mouth; 3-vessel skimmer operation 4 days,partial,true,Alexandrium minutum bloom partially contained at bay entrance; deeper water bloom persisted; saxitoxin shellfish safety closure extended 3 weeks; monitoring every 48 hours
cf17f56c-85cf-584e-878a-c516f18c8682,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2023-05-27,nutrient reduction,Stormwater retrofit program; gross pollutant traps and biofiltration installed in 6 major drainage catchments,ongoing,true,Nutrient loading from urban stormwater targeted; total nitrogen loads to bay estimated to decline 25% within 3 years; ecological monitoring program quarterly
8fd32a3a-c053-5d70-b31f-bacc8f029776,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2024-04-15,algaecide application (copper sulfate),0.4 mg/L Cu2+ targeted spray in nearshore recreational zone only,unsuccessful,true,Noctiluca scintillans bioluminescent bloom not susceptible to copper; physical exclusion boom and signage used as interim measure; bloom subsided naturally after 12 days
6981496c-2359-53fb-b533-292122fadb05,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2020-03-10,UV treatment,65 mJ/cm2 UV dose; flow-through reactor at 250 ML/day plant capacity,successful,false,Cylindrospermopsis raciborskii inactivated at treatment plant; cylindrospermopsin below detection limit in treated water; reactor lamps checked and certified
bdf7327f-9867-5988-8be2-8eb084c58f0c,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2021-03-25,UV treatment,80 mJ/cm2 UV dose combined with coagulation-flocculation-filtration train,successful,false,Microcystis aeruginosa bloom at intake; combined treatment achieved microcystin < 1 ug/L in finished water; WHO guideline compliance maintained throughout bloom event
981e9ed0-2982-53b2-a74b-7b061b382832,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2022-01-18,algaecide application (copper sulfate),0.6 mg/L Cu2+ applied to reservoir headworks 3 km upstream of intake,successful,false,Preventive treatment applied at first WHO alert level 1 threshold breach; Anabaena flos-aquae bloom eliminated before reaching intake; geosmin levels declined below taste threshold
28e61952-1b5e-5e79-ba1b-98b097a4cfb9,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2023-12-07,nutrient reduction,Catchment-wide fertiliser application guidelines; voluntary agreements with 14 upstream landholders,partial,true,Phosphorus loads from agricultural runoff reduced approximately 18%; algae bloom frequency improved but seasonal peaks persist; continued engagement with landholders and regulatory review scheduled
b757e2d0-92b6-5dd3-98a7-84877fc81399,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2020-08-14,algaecide application (copper sulfate),0.7 mg/L Cu2+; aerial spray over 40 ha bloom area,successful,false,Large Microcystis bloom eliminated within 4 days; recreational beach reopened; dissolved oxygen closely monitored 10 days post-treatment; no fish mortality observed
e56d3d99-e1fe-5295-b80d-1252caef9769,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2021-07-30,mechanical aeration,4 sub-surface diffuser units at 2.2 m3/min each; installed in deepest basin,successful,false,Thermal stratification eliminated by mid-August; hypolimnetic anoxia reversed; internal phosphorus loading from sediments reduced by 45%; bloom did not recur in 2021-22 season
f1dbcecc-2f00-5d85-bebe-933b89415492,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2023-06-12,barley straw application,30 g/m2 in mesh bales along 800 m shoreline,unsuccessful,true,Green algae (Chlorella and Spirogyra) bloom established before inhibitory compounds released from straw; preventive application the following season recommended starting in April
412c28fc-774a-53db-93ee-ea593d390bb6,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2024-08-09,clay flocculation,20 g/m2 modified clay applied over recreational bay 6 ha,successful,false,Rapid sedimentation of Dolichospermum flos-aquae surface scum; beach cleared for swimming within 24 hours; summer holiday period preserved; bottom water quality monitored for 2 weeks
19ed41c8-2e4b-582e-bcc4-ecadd424f6c5,a8948238-32f6-5d28-bf54-0805f1c4affa,2020-12-22,mechanical aeration,Destratification system; 2 compressor units delivering 3 m3/min total at 8 m depth,partial,true,Internal loading reduced; surface phosphate decreased from 0.18 to 0.08 mg/L; bloom density halved but still exceeding WHO alert level 2; aerator capacity increase considered
7a627fdd-aa32-5618-91b2-734ce371341a,a8948238-32f6-5d28-bf54-0805f1c4affa,2022-01-09,algaecide application (copper sulfate),1.0 mg/L Cu2+; maximum label rate applied to critical intake zone,successful,false,Aphanizomenon flos-aquae bloom eliminated; activated carbon treatment at plant post-application; cylindrospermopsin screening negative; operational restriction lifted after 7 days
b0e34914-a242-5b40-86d6-a2fcf827dd7f,a8948238-32f6-5d28-bf54-0805f1c4affa,2023-01-31,UV treatment,100 mJ/cm2 UV at water treatment plant; peak flow 180 ML/day,successful,false,Saxitoxin-producing Aphanizomenon treated at plant; PST below detection in finished water; lamp replacement scheduled following extended bloom event use
347869c0-2d62-5d4e-8cdd-a87d852c5dad,a8948238-32f6-5d28-bf54-0805f1c4affa,2024-02-14,nutrient reduction,Phosphorus stripping unit installed on main inflow channel; 70% phosphorus removal target,ongoing,true,Infrastructure installed February 2024; baseline phosphorus loading 450 kg/year; reduction to below 135 kg/year expected to measurably reduce bloom frequency within 2 years
ff19ee5c-f78d-5b17-ab9c-7d15e93c67f2,531f37c3-084e-55b3-bc9b-0db5281b54d8,2020-03-18,manual removal (skimming),River boom deployed across 40 m channel; skimmer vessel 2-day operation,partial,true,Dolichospermum circinale ribbon bloom partially removed from irrigation offtake zone; bloom reformed within 1 week; flow augmentation from upstream storage released 30 GL to flush system
fef70d4f-92ec-57f1-b646-6cbebcf03c38,531f37c3-084e-55b3-bc9b-0db5281b54d8,2021-02-03,algaecide application (copper sulfate),0.5 mg/L Cu2+ in slow-flowing river reach (flow < 200 ML/day),successful,false,Planktothrix bloom eliminated; treatment timed to low-flow event; irrigation diversion closed 5 days post-treatment; fish monitoring clear
25de00e3-71c3-532d-a330-efea23c3cd3d,531f37c3-084e-55b3-bc9b-0db5281b54d8,2022-12-28,nutrient reduction,Best management practice incentive program; 28 farms enrolled; fertiliser reduction averaging 22%,partial,true,Nitrogen and phosphorus loads at monitoring gauge reduced 15% year 1; bloom frequency showing modest improvement; longer-term BMP adoption tracking continues
e30288fb-c3f0-597c-abfa-ceeb062f63c8,531f37c3-084e-55b3-bc9b-0db5281b54d8,2024-01-20,mechanical aeration,Weir pool aerator; 1.0 kW/ha; operated November-March each year,partial,true,DO in weir pool improved; cyanobacterial biomass reduced compared to historical average; flow management for flushing identified as critical co-management measure
ae345715-4ca0-5a1b-a22b-46e86933e30c,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2020-11-11,clay flocculation,35 g/m2 PAC-modified clay across 15 ha bloom area near intake tower,successful,false,Microcystis aeruginosa scum removed from intake vicinity; microcystin risk to treatment plant reduced; sedimented material monitored for toxin release from sediments for 3 weeks
44667f4a-5b0b-5399-b96c-a693bc2d1d7d,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2021-12-16,mechanical aeration,Continuous destratification; 5 diffuser units; 4 m3/min total flow,successful,false,Successful prevention of 2021-22 summer bloom; hypolimnetic DO maintained above 5 mg/L throughout stratification period; internal loading phosphorus reduction confirmed by sediment core analysis
e974a953-fc7d-5214-9674-141e7062423d,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2023-10-24,algaecide application (copper sulfate),0.4 mg/L Cu2+ preventive treatment at chlorophyll-a 15 ug/L trigger,successful,false,Early intervention at WHO alert level 1 threshold; Cylindrospermopsis prevented from establishing dense bloom; treatment repeated once 4 weeks later; total season management cost reduced compared to reactive approach
238db82d-b99b-5098-a8bc-27b3efea19aa,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2024-11-30,nutrient reduction,Catchment phosphorus load reduction plan; wetland restoration 22 ha at key inflow catchment,ongoing,true,Wetland plantings established November 2024; estimated 35% reduction in phosphorus from rehabilitated subcatchment; 5-year monitoring program to assess bloom frequency trends
a9237ffe-0263-5abe-8fb0-add378bd3e91,e10104b9-374c-53ba-b755-997b9f7a62c5,2020-09-30,manual removal (harvesting),Mechanical harvester and barge; 3.5 tonnes Cladophora and Spirogyra mat harvested over 4 days,successful,false,Dense filamentous algae mat removed from Ramsar wetland bird habitat; biomass disposed at licensed composting facility; water clarity improved from 0.3 m to 1.1 m Secchi depth
a37dbe16-b026-511d-8fcf-dbfdf6be0583,e10104b9-374c-53ba-b755-997b9f7a62c5,2021-10-08,barley straw application,45 g/m2 straw in bales at 20 anchor points; early spring preventive deployment,partial,true,Green algae regrowth suppressed in shallow margins for 6 weeks; Lyngbya benthic mats in deeper channels unresponsive; targeted harvesting recommended for mat areas
f400b6cf-bb86-52c6-b8d6-089effe8ac39,e10104b9-374c-53ba-b755-997b9f7a62c5,2022-09-14,nutrient reduction,Constructed wetland buffer between agricultural drain and main wetland; 1.8 ha interceptor wetland,ongoing,true,Interceptor wetland operational; targeting nitrogen-rich agricultural drainage; seasonal bloom assessments to track effectiveness; macrophyte establishment monitored at 6 months
42d4e402-e167-542d-bcd2-26ebbf7e6d2a,e10104b9-374c-53ba-b755-997b9f7a62c5,2024-10-21,manual removal (harvesting),Manual raking and suction harvester; 1.9 tonnes Lyngbya benthic mat removed from 0.8 ha priority zone,partial,true,Priority bird nesting habitat cleared of Lyngbya mats; adjacent areas not treated due to access constraints; dermatitis risk from Lyngbya handled with PPE and decontamination protocols
9dc5dd99-201b-523f-8e3c-bd562a75457c,e967cd58-d230-511a-8d81-255fab5748a9,2020-06-02,manual removal (skimming),Skimmer boom deployment; 5 vessels over 3 days in enclosed harbour,successful,false,Noctiluca scintillans bioluminescent bloom cleared from marina and beach zone; ammonia toxicity risk to fish managed; bloom subsided naturally 5 days after physical removal operation
a1451201-4855-53f4-a6fd-31d1f0cfad6d,e967cd58-d230-511a-8d81-255fab5748a9,2021-05-18,nutrient reduction,Stormwater nutrient interception; 8 constructed wetland nodes in urban catchment; target 30% nitrogen reduction,partial,true,Year 1 monitoring shows 14% nitrogen reduction at bay outfall; green tide Ulva bloom frequency marginally improved; 3-year program continuing with expanded riparian planting
62dae9d8-b518-59fb-a72d-eb4de17b1327,e967cd58-d230-511a-8d81-255fab5748a9,2023-04-28,clay flocculation,50 g/m2 modified clay over 8 ha Alexandrium bloom zone near shellfish leases,successful,false,Alexandrium minutum flocculated rapidly; saxitoxin levels in shellfish declined within 10 days; harvest closure lifted following 3 consecutive negative PST tests; industry loss minimised
c0842426-d1ea-5a20-85dd-ad176da086ff,e967cd58-d230-511a-8d81-255fab5748a9,2024-05-09,algaecide application (copper sulfate),0.3 mg/L Cu2+ targeted to enclosed bay section; tidal exchange calculated to limit dispersion,partial,true,Prymnesium parvum partially suppressed; fish kill averted but some bivalve stress recorded; water chemistry buffered with lime to protect sensitive aquatic fauna; monitoring continued 21 days
88c21242-6642-5d6b-8d29-7d1420cd30a3,bcc87cef-0c77-5c30-a67c-77e013a3936e,2020-08-28,mechanical aeration,2 solar-powered surface aerators at 1.8 kW/ha; June-September operation,successful,false,Thermal stratification disrupted; Microcystis bloom did not establish despite warm summer; internal phosphorus loading from sediments monitored and confirmed reduced; cost-effective long-term solution
1b01c88b-991e-5dee-b44b-aed73fd8c337,bcc87cef-0c77-5c30-a67c-77e013a3936e,2021-09-10,barley straw application,25 g/m2 early spring preventive deployment; 15 mesh bale anchor points,successful,false,Green algae (Chlorella and Spirogyra) successfully suppressed in spring before dense bloom established; DO in bale vicinity monitored; no hypoxic conditions developed; reapplication in second year planned
0d1437eb-930d-5b30-824b-d7c56d671a0a,bcc87cef-0c77-5c30-a67c-77e013a3936e,2022-07-05,algaecide application (copper sulfate),0.6 mg/L Cu2+ applied to focus bloom area at northern end of lake,partial,true,Dolichospermum bloom reduced at treatment site but bloom re-established in southern lake area; second treatment with extended coverage planned; DO and fish monitoring ongoing
5b26e60f-5c56-568f-9239-c414d46bda9b,bcc87cef-0c77-5c30-a67c-77e013a3936e,2024-06-20,clay flocculation,28 g/m2 modified clay applied by boat over 10 ha bloom area,successful,false,Planktothrix agardhii bloom settled within 72 hours; water clarity improved from 0.5 m to 1.8 m Secchi depth; recreational water users notified and access restored after 3 days
d66b9e7f-1884-5c49-9bc3-f53580e637f8,b2f34044-e3f5-594a-92f1-c7f14516de86,2020-02-19,UV treatment,50 mJ/cm2 UV dose at water treatment works; 320 ML/day peak capacity,successful,false,Microcystis aeruginosa at intake; microcystin-LR below 1 ug/L in finished water throughout treatment; UV combined with coagulation; no taste or odour complaints from consumers
5f19df8c-d485-5a10-9ed2-ddf0b3fc86fc,b2f34044-e3f5-594a-92f1-c7f14516de86,2021-01-07,algaecide application (copper sulfate),0.9 mg/L Cu2+; helicopter application over 55 ha central reservoir basin bloom,successful,false,Dense Microcystis bloom eliminated; intake quality maintained below WHO alert level 1; carbon treatment at plant as precaution; post-treatment DO and copper monitoring for 14 days
893286d5-b7d2-5ec7-892d-34ebc3a1ae10,b2f34044-e3f5-594a-92f1-c7f14516de86,2023-02-28,nutrient reduction,Phosphorus reduction target 30% in 5 years; catchment management strategy adopted by water authority board,ongoing,true,Multi-year catchment strategy approved; land use change assessments underway; interim in-reservoir management via aeration continued; annual reporting to water authority board
3ffc89a2-5ed4-5e05-9488-978d22a4c763,b2f34044-e3f5-594a-92f1-c7f14516de86,2024-01-03,mechanical aeration,Upgraded destratification system; 8 diffuser strings at 2.5 m3/min; continuous summer operation,partial,true,System upgrade installed January 2024; preliminary results showing reduced stratification duration; full season data required for efficacy assessment; mid-season inspection due in March
20de7243-2c8a-56c2-8170-6c351353e4da,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2020-12-10,manual removal (skimming),Boom deployment and 2-vessel skimmer operation; 5.3 tonnes Nodularia biomass removed,partial,true,Nodularia spumigena bloom partially managed in upper estuary; blooms persisted in lower tidal zone; nodularin toxin monitoring every 3 days; fishing ban maintained 2 weeks
b7bfd5cc-c73f-5443-b829-b86b1a6c67f8,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2021-11-22,nutrient reduction,Wastewater recycling scheme diverting 2.5 GL/year treated effluent to agricultural irrigation,successful,false,Diversion scheme completed November 2021; total nitrogen load to estuary reduced 40%; Nodularia bloom frequency declined significantly in 2022-23 season; scheme recognised as best practice
d4d96288-1789-516e-889e-6c34f714328d,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2022-10-06,clay flocculation,40 g/m2 PAC-modified clay over 12 ha Nodularia surface bloom area,successful,false,Estuary surface scum settled within 48 hours; nodularin toxin monitoring in sediment water column initiated; recreational access restored after 5 days; tidal flushing assisted dispersal of settled material
968b24bb-6565-5e46-9fcc-18fbf9134957,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2024-11-18,algaecide application (copper sulfate),0.2 mg/L Cu2+ in upper brackish estuary reach; low salinity zone only,unsuccessful,true,Nodularia treatment in saline conditions showed reduced copper efficacy; bloom persisted; clay flocculation scheduled as alternative; estuary water exchange to open ocean enhanced by opening tidal gate
0c383385-b046-567e-a076-fbd0fd53b429,dd6bde54-fca1-5c41-913c-cb3783e6199c,2020-07-07,mechanical aeration,3 sub-surface diffuser units; 1.5 m3/min each; operated continuously June-September,successful,false,Anabaena flos-aquae bloom prevented by early season destratification; DO remained above 7 mg/L throughout stratification period; internal phosphorus loading near-zero; considered most cost-effective long-term management tool
3e722d10-1333-5b26-9649-99d863309a8a,dd6bde54-fca1-5c41-913c-cb3783e6199c,2021-06-14,clay flocculation,22 g/m2 modified clay across 7 ha bloom area at north-eastern bay,successful,false,Microcystis surface scum settled in 30 hours; swimming beach area cleared for scheduled community event; toxin monitoring confirmed safe before reopening; annual summer contingency plan in place
961ea778-35fb-5ba6-950c-b9f90092b07a,dd6bde54-fca1-5c41-913c-cb3783e6199c,2022-08-30,barley straw application,30 g/m2 straw deployed in April at 18 anchor points; preventive against green algae spring growth,partial,true,Green algae growth reduced 50% versus previous year; no effect on summer cyanobacterial bloom; aeration identified as primary management for cyanobacteria; straw continued for green algae management
620d6e1a-6432-56c3-9e41-50f803be9c54,dd6bde54-fca1-5c41-913c-cb3783e6199c,2024-07-16,algaecide application (copper sulfate),0.5 mg/L Cu2+ applied at onset of Microcystis bloom (chlorophyll-a 22 ug/L),successful,false,Early trigger application successful; bloom eliminated before reaching WHO alert level 2; reactive copper and pH monitoring post-application; swim season protected; total management expenditure below average
222e9a3b-a23d-52b5-9247-5397c8e7153f,86ad11ee-e67c-5f6f-afff-13708776a73c,2020-01-24,algaecide application (copper sulfate),0.6 mg/L Cu2+ in river pool downstream of weir during sustained low-flow period,partial,true,Dolichospermum circinale ribbon bloom reduced 70%; river cell counts declined below WHO alert level 2; geosmin taste-and-odour compounds at intake still above threshold; activated carbon treatment initiated at water plant
9a365e58-d95c-5ca3-b9e8-a8cb6c9f868c,86ad11ee-e67c-5f6f-afff-13708776a73c,2021-03-05,nutrient reduction,Flow augmentation from upstream storage (50 GL released) to flush nitrogen-rich river reaches during low-flow bloom event,successful,false,Flushing flow exceeded 2500 ML/day breaking bloom conditions; Dolichospermum dispersed; bloom cleared within 72 hours; environmental flow allocation review initiated for drought-year planning
4c618085-cfc9-5e0f-b3e1-c542e85d71c6,86ad11ee-e67c-5f6f-afff-13708776a73c,2023-01-17,manual removal (skimming),River containment boom and skimmer vessel at irrigation offtake; 2.1 tonnes biomass removed,partial,true,Irrigation diversion protected during peak bloom; skimmer operated 3 days; bloom persisted upstream of boom; algaecide treatment requested by irrigation authority for broader reach
cc7be70d-38f9-56e4-a10a-9e58593f57b2,86ad11ee-e67c-5f6f-afff-13708776a73c,2024-02-27,mechanical aeration,Temporary floating aerator 1.5 kW deployed in irrigation storage pond during bloom event,successful,false,Off-river storage pond bloom treated with aerator; Anabaena cell count declined from 85000 to 2100 cells/mL in 3 weeks; irrigation water quality compliant; aerator permanently installed for future seasons
67f74a0f-015a-5093-8d0a-657178bad8dc,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2020-01-30,UV treatment,75 mJ/cm2 UV at treatment plant; supplemental activated carbon 10 mg/L for toxin removal,successful,false,Microcystin and geosmin successfully removed; no consumer complaints; UV dose verified by biodosimetry testing; carbon consumption rate monitored; treatment cost increased 15% during bloom event
78a5eded-be39-5f18-a303-5755bfb767d6,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2021-11-29,clay flocculation,32 g/m2 modified clay applied over 18 ha reservoir bloom near forebay intake,successful,false,Microcystis aeruginosa settled rapidly; intake water quality improved within 24 hours; plant management stress reduced; bloom treatment cost effective relative to enhanced treatment plant operation during bloom events
63c0cd50-c1b1-5727-a86a-070c95991937,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2022-12-04,mechanical aeration,Destratification system extension; 3 additional diffuser strings; total 14 units across reservoir,partial,true,System extended but reservoir bathymetry limits full destratification in deepest basin (42 m); deep hypolimnion phosphorus release persists; sediment treatment with alum considered as complementary measure
c1bf731f-d920-5cef-ae92-1a0d123daef7,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2024-12-18,nutrient reduction,Alum dosing at main inflow stream; 3 mg Al/L targeting phosphorus precipitation before reservoir entry,ongoing,true,Trial alum dosing commenced December 2024 at inflow channel; target phosphorus reduction 60% at reservoir inlet; 12-month trial with monitoring before decision on permanent installation
a29a033a-9dfe-5392-ba97-41c16740669c,ab224cb4-5f16-5681-bee5-02bc215256d6,2020-04-11,UV treatment,90 mJ/cm2 UV dose; 140 ML/day treatment capacity; redundant UV system activated during bloom,successful,false,Cylindrospermopsis raciborskii bloom at reservoir intake; cylindrospermopsin inactivated below detection in finished water; standby reactor commissioned for additional capacity during extended bloom
eee42a80-06bb-518a-aa0c-54e10d7a3c68,ab224cb4-5f16-5681-bee5-02bc215256d6,2021-02-22,algaecide application (copper sulfate),0.8 mg/L Cu2+ applied in reservoir headworks storage; 3 application zones by boat,successful,false,Aphanizomenon bloom eliminated 5 days post-treatment; saxitoxin monitoring negative; reservoir available for diversion at 6 days; activated carbon standby protocol not required
afdc8ce2-7127-55ce-b0c7-21398bed4307,ab224cb4-5f16-5681-bee5-02bc215256d6,2023-03-15,nutrient reduction,Forest management plan protecting 8500 ha supply catchment; no-fertiliser buffer 200 m from watercourses,ongoing,true,Catchment protection agreement executed with land management agency; baseline nutrient loading surveys completed; 10-year monitoring program to track effectiveness of catchment protection measures
42da6b2b-9baf-5efa-9687-3cb8f9b0e243,ab224cb4-5f16-5681-bee5-02bc215256d6,2024-03-09,mechanical aeration,Sub-surface aerator commissioned at upstream storage reservoir; 2.5 m3/min capacity,partial,true,Upstream storage reservoir treatment; stratification reduced but Cylindrospermopsis persisted at moderate density; UV treatment at downstream plant operational as backup; full efficacy assessment due after first full operating season

