measurement_id,site_id,recorded_at,ph,dissolved_oxygen_mgl,turbidity_ntu,chlorophyll_a_ugl,nitrate_mgl,phosphate_mgl,algae_cell_count_cells_ml,dominant_species_id,notes
26ba9b9a-d97d-549c-a8bd-96ba754164c7,351b1a48-d61e-5e1b-8864-74e494879dc9,2020-06-14T10:15:00,7.42,8.4,4.0,1.0,0.859,0.0239,1387,,"Fortnightly grab sample; weather overcast, light wind."
9ddb0b86-f12d-59e6-a4e4-1bb629c2a160,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2023-12-18T10:30:00,9.07,13.39,106.8,284.79,0.197,0.0363,120393,1e358323-30e0-5e1b-a5a2-719bd0c1f279,Dense Microcystis aeruginosa bloom; strong musty odour; recreational advisory in effect.
32d9843a-ae87-5b4b-a6a9-8c8bd7f2cbde,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2024-12-04T07:00:00,7.06,9.03,5.2,5.64,1.32,0.0245,1001,,Parameters within seasonal baseline; no intervention required.
6da5a59a-fe66-561c-acb3-c8e10685a7ac,bcc87cef-0c77-5c30-a67c-77e013a3936e,2022-12-04T09:45:00,8.92,2.52,48.8,216.15,0.065,0.1052,61864,bb7ccfc9-8dd6-5d7f-8049-7693be1a646a,pH elevated to 8.92; intense photosynthetic activity driving CO2 depletion.
bf48feac-7bcf-57aa-802e-70e1ee14d284,bcc87cef-0c77-5c30-a67c-77e013a3936e,2021-05-11T08:30:00,7.66,8.46,5.9,3.76,1.038,0.0361,1254,,"Fortnightly grab sample; weather overcast, light wind."
7c0d2775-65fb-5557-9994-00ef9003b788,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2023-07-04T08:15:00,9.66,16.27,57.6,241.26,0.099,0.042,201622,cd119cb6-cafd-52f2-b654-c66676f3b148,Active bloom confirmed; site closed to recreational use; water supply intake protected.
f77dbbc6-8ccd-51e3-beed-de82ae9fc049,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2021-08-17T08:15:00,9.06,13.81,79.8,220.04,0.054,0.0823,123699,1e358323-30e0-5e1b-a5a2-719bd0c1f279,pH elevated to 9.06; intense photosynthetic activity driving CO2 depletion.
3c9ff0ac-2f36-558c-af15-fd82554d19e0,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2020-05-14T09:30:00,7.47,10.07,4.3,6.55,0.861,0.043,1757,,"Fortnightly grab sample; weather overcast, light wind."
3e80ab97-0dd9-5640-be02-4c07f66302ed,b2f34044-e3f5-594a-92f1-c7f14516de86,2020-02-28T07:30:00,9.52,3.52,36.0,227.32,0.06,0.0219,165821,b645cfbb-2bae-5340-a4ca-762e54c013c0,Dense Asterionella formosa bloom; strong musty odour; recreational advisory in effect.
76c4a4ea-4195-5139-9441-25bc1297c1c5,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2021-01-18T10:00:00,6.82,9.67,6.4,3.29,1.204,0.0338,1081,,Routine monitoring sample; all parameters within normal range.
9e21df9f-5477-56c4-a1f4-0908016b7c5b,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2022-01-21T08:45:00,10.09,3.97,66.9,180.27,0.105,0.0602,57917,36f92b99-681f-5cf0-bdfe-7f48ae9882a9,Cell count 57917 cells/mL; DO crash risk overnight; aeration deployed.
b179a821-4e8d-5271-9ea2-e503d37f7bdc,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2023-05-03T08:30:00,7.59,9.38,4.5,8.47,1.08,0.0281,1526,,"Fortnightly grab sample; weather overcast, light wind."
f7a12dd7-efa5-5e90-93f9-e2be17eb7187,ab224cb4-5f16-5681-bee5-02bc215256d6,2021-05-23T08:15:00,7.36,10.49,3.7,4.01,1.931,0.025,1291,,"Fortnightly grab sample; weather overcast, light wind."
472cce80-85ba-564c-993e-0465b3614f77,a8948238-32f6-5d28-bf54-0805f1c4affa,2021-05-26T07:30:00,7.66,7.93,2.1,3.01,0.679,0.0325,252,,"Fortnightly grab sample; weather overcast, light wind."
3556b8c4-be3d-5a12-9dd2-96a20cac93a3,86ad11ee-e67c-5f6f-afff-13708776a73c,2024-01-12T09:30:00,8.98,15.9,61.7,189.49,0.054,0.0365,126542,5680fb2c-596c-5cae-9da2-9a2830c88c15,pH elevated to 8.98; intense photosynthetic activity driving CO2 depletion.
9c6c04f3-1e4a-5db0-9a1e-ab3e9b2edb3d,e10104b9-374c-53ba-b755-997b9f7a62c5,2022-12-23T10:45:00,9.39,13.32,88.8,154.6,0.159,0.0847,33727,fe051665-7950-5d14-8f59-48ae35cead29,Visible surface scum across the inlet; algaecide application being considered.
e43b1101-0749-52f6-aadd-f20ccdb34b57,e2a66259-a7bb-52d9-9aaa-33350adee837,2023-06-16T07:00:00,7.66,7.96,2.2,6.44,1.354,0.0222,1420,,Parameters within seasonal baseline; no intervention required.
a4e1688a-1dd1-5042-9a5d-b73ae42e5c70,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2024-05-28T10:30:00,7.43,10.16,6.4,5.33,1.388,0.0167,1601,,Routine monitoring sample; all parameters within normal range.
ffb24e03-cd8e-591f-be60-81fcd2102fe7,86ad11ee-e67c-5f6f-afff-13708776a73c,2022-01-19T07:30:00,9.48,13.38,90.6,103.55,0.127,0.1014,83661,1596303d-c95b-55e3-b24c-256261143588,Visible surface scum across the inlet; algaecide application being considered.
9f8e1af3-1135-552d-8fcf-dcd04ac8104c,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2021-01-03T08:45:00,7.08,8.4,7.4,3.89,1.911,0.0347,1215,,Routine monitoring sample; all parameters within normal range.
97ee22a5-51f0-5da3-9011-cac10defaa27,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2024-08-11T10:15:00,9.84,11.89,96.6,143.38,0.038,0.0355,39927,1e358323-30e0-5e1b-a5a2-719bd0c1f279,Visible surface scum across the inlet; algaecide application being considered.
f1f26b78-63e0-58d0-b667-7f63e5b175f8,e967cd58-d230-511a-8d81-255fab5748a9,2024-01-17T10:30:00,10.1,4.9,42.6,309.88,0.068,0.0219,133918,a4ab21f9-c895-594b-bd89-7e14959bd207,Active bloom confirmed; site closed to recreational use; water supply intake protected.
f9ac3dc8-49af-56c9-af1d-705fc0da2b3d,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2024-12-23T10:00:00,9.0,2.2,23.1,302.01,0.113,0.1188,162352,5680fb2c-596c-5cae-9da2-9a2830c88c15,Visible surface scum across the inlet; algaecide application being considered.
2c53cac6-88a0-505d-bb2d-8c9cc1f6a5fc,a113884d-c740-5822-aff6-d6cd26c56d78,2022-12-26T08:15:00,7.48,9.29,5.0,5.2,1.245,0.0214,1355,,Parameters within seasonal baseline; no intervention required.
df7f5581-bb4c-57ab-add3-5418d489e63c,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2022-01-07T07:00:00,9.62,2.94,84.8,64.63,0.138,0.0811,35889,ca560248-021f-5df5-a733-fe7977306070,Visible surface scum across the inlet; algaecide application being considered.
672405d3-654b-5172-8af1-7c84f248145a,ab224cb4-5f16-5681-bee5-02bc215256d6,2022-02-22T09:45:00,8.83,3.45,36.9,312.69,0.074,0.0418,74336,5680fb2c-596c-5cae-9da2-9a2830c88c15,Visible surface scum across the inlet; algaecide application being considered.
96ddb8a7-1d6f-5859-b7b5-df34b452350f,dd6bde54-fca1-5c41-913c-cb3783e6199c,2021-06-05T07:15:00,7.58,8.6,3.2,5.54,1.368,0.0331,959,,Routine monitoring sample; all parameters within normal range.
a8a995d5-ac15-5eda-a29a-a2d00d98a7af,e2a66259-a7bb-52d9-9aaa-33350adee837,2022-01-21T09:15:00,9.13,2.43,90.2,224.97,0.13,0.0288,84175,f8404ef1-6e70-538f-8e45-d49f7e2c8fec,Active bloom confirmed; site closed to recreational use; water supply intake protected.
46e9199f-24f7-5249-ba66-249e826d5df7,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2024-02-01T09:45:00,7.29,8.57,9.2,4.45,1.488,0.0324,375,,Water clarity good; no visible algal growth observed at surface.
14829c5a-f545-55a8-a74f-e245bb744f3b,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2021-06-08T07:00:00,7.66,7.71,2.6,6.35,0.743,0.0129,1369,,Water clarity good; no visible algal growth observed at surface.
d777e222-ad64-5ddb-9050-5c27c7870db3,dd6bde54-fca1-5c41-913c-cb3783e6199c,2024-12-13T10:45:00,9.81,11.87,92.9,223.43,0.101,0.0848,110312,04762f8c-7329-5da8-8726-bd42e76c1009,pH elevated to 9.81; intense photosynthetic activity driving CO2 depletion.
e6f71b43-780f-5d5f-8abd-82fe6e333f1d,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2021-06-05T08:00:00,9.7,3.27,73.3,216.82,0.14,0.0778,146669,0fbf8c30-0f98-5d7c-beb8-ee18ea1981aa,Dense Nodularia spumigena bloom; strong musty odour; recreational advisory in effect.
fc9826ec-75f1-587a-b8ca-48ac0bb23628,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2021-05-26T08:15:00,6.84,10.25,3.6,7.65,1.614,0.0254,1460,36f92b99-681f-5cf0-bdfe-7f48ae9882a9,Routine monitoring sample; all parameters within normal range.
a9b8f809-534c-5525-93af-6705b9f25a94,ab224cb4-5f16-5681-bee5-02bc215256d6,2020-12-20T09:30:00,9.36,13.95,62.2,178.22,0.023,0.0464,48732,ef21fcba-bb41-5c62-a797-74077f71eb2e,pH elevated to 9.36; intense photosynthetic activity driving CO2 depletion.
5963e247-43ef-5259-b722-1eb095a1fca5,a8948238-32f6-5d28-bf54-0805f1c4affa,2024-01-27T10:45:00,9.21,2.99,69.9,151.06,0.047,0.1115,37598,36f92b99-681f-5cf0-bdfe-7f48ae9882a9,Dense Aphanizomenon flos-aquae bloom; strong musty odour; recreational advisory in effect.
da1303a3-3d95-5115-b57d-9d3c3189d33f,e967cd58-d230-511a-8d81-255fab5748a9,2024-07-20T07:45:00,7.7,8.07,2.7,4.49,1.232,0.0378,1606,,Water clarity good; no visible algal growth observed at surface.
59f18eea-665e-5984-85eb-066601d0732e,351b1a48-d61e-5e1b-8864-74e494879dc9,2024-06-10T10:45:00,7.34,9.7,5.1,8.18,1.181,0.0181,1194,bb7ccfc9-8dd6-5d7f-8049-7693be1a646a,No odour detected; water colour normal.
e4cc019c-8f0e-501e-a36f-df9a152e3384,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2020-08-03T09:15:00,9.15,12.27,63.4,147.39,0.036,0.1137,136584,6baca93a-e6a8-5985-adbf-9d7173d62c45,Dense Alexandrium minutum bloom; strong musty odour; recreational advisory in effect.
741616b9-4c3a-5c84-a079-3cf1e8c092d1,b2f34044-e3f5-594a-92f1-c7f14516de86,2020-06-25T09:15:00,7.61,10.04,5.9,7.55,1.382,0.0318,253,,"Fortnightly grab sample; weather overcast, light wind."
6f7f5964-33c6-56fe-9792-757b081d3f4b,e967cd58-d230-511a-8d81-255fab5748a9,2020-05-18T08:30:00,6.93,8.55,2.8,2.95,0.856,0.0242,1312,,Parameters within seasonal baseline; no intervention required.
26d5ebf9-3481-57ba-bb8f-885bda51801e,86ad11ee-e67c-5f6f-afff-13708776a73c,2023-06-28T08:00:00,7.08,8.85,4.9,5.56,1.469,0.0204,1212,,Water clarity good; no visible algal growth observed at surface.
a7090360-4901-5737-bbda-cecbf798ece2,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2023-01-16T09:15:00,6.99,10.03,4.3,7.92,1.923,0.0259,599,,Parameters within seasonal baseline; no intervention required.
6e33d852-d778-5ba5-8ba9-414ca59a0e9b,ab224cb4-5f16-5681-bee5-02bc215256d6,2023-06-20T08:15:00,6.85,10.22,2.5,2.86,0.56,0.0202,1167,,Water clarity good; no visible algal growth observed at surface.
5fe034ec-41d8-5195-a3b4-f15c03664396,86ad11ee-e67c-5f6f-afff-13708776a73c,2023-02-23T08:45:00,8.8,14.75,66.2,298.3,0.159,0.0611,175313,cf81345d-3a1a-5d00-bd57-4ce4595edac0,Visible surface scum across the inlet; algaecide application being considered.
4078e69a-ec9c-5398-b776-cec423d8cb9b,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2024-05-02T08:30:00,7.16,9.84,5.4,3.66,0.599,0.0216,1019,,No odour detected; water colour normal.
3d04efbc-400d-5486-b4af-c46155055199,531f37c3-084e-55b3-bc9b-0db5281b54d8,2024-02-04T10:30:00,7.71,8.61,3.4,5.5,0.754,0.0134,734,,Parameters within seasonal baseline; no intervention required.
641bd802-4ba5-5105-b8a8-d4d6f92ffe05,a8948238-32f6-5d28-bf54-0805f1c4affa,2022-12-11T07:15:00,8.95,2.97,28.5,67.16,0.101,0.0498,175625,1596303d-c95b-55e3-b24c-256261143588,Active bloom confirmed; site closed to recreational use; water supply intake protected.
e0c0dd28-2ba7-590a-8aa6-32297d167c2e,351b1a48-d61e-5e1b-8864-74e494879dc9,2024-02-14T07:15:00,9.92,4.19,91.0,55.27,0.179,0.0733,145037,1e358323-30e0-5e1b-a5a2-719bd0c1f279,Visible surface scum across the inlet; algaecide application being considered.
b1fb57aa-7623-564c-92bb-7eacd0e6864d,531f37c3-084e-55b3-bc9b-0db5281b54d8,2021-02-11T09:15:00,7.1,7.93,4.5,2.77,0.881,0.0103,1411,,Water clarity good; no visible algal growth observed at surface.
89077178-0395-5823-aaa1-9b69d35bdf9c,e967cd58-d230-511a-8d81-255fab5748a9,2022-06-26T07:30:00,7.01,8.25,3.2,7.24,1.815,0.023,1471,,Water clarity good; no visible algal growth observed at surface.
1e17c93d-43b7-5611-a4c9-9cc00454f738,531f37c3-084e-55b3-bc9b-0db5281b54d8,2020-08-24T08:00:00,9.79,13.82,73.9,164.51,0.088,0.0353,140750,b645cfbb-2bae-5340-a4ca-762e54c013c0,Cell count 140750 cells/mL; DO crash risk overnight; aeration deployed.
7e8700d7-71f5-5e13-876f-36d9780694d1,dd6bde54-fca1-5c41-913c-cb3783e6199c,2023-07-08T07:15:00,7.59,8.21,3.7,3.89,1.316,0.0253,1329,,Routine monitoring sample; all parameters within normal range.
86cf229c-73f1-51cc-a095-fc6c2f20d2e0,b2f34044-e3f5-594a-92f1-c7f14516de86,2021-12-09T09:30:00,9.1,2.0,69.3,68.79,0.153,0.1169,44053,e73c07b2-f9dc-5b5f-82c0-7757642fa580,Cell count 44053 cells/mL; DO crash risk overnight; aeration deployed.
fe860f82-e544-5ae1-866c-ebafc7d7c3b4,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2023-02-09T07:15:00,8.91,12.28,50.6,236.13,0.105,0.0136,95524,019baaf8-2226-5edd-b398-0f57fd9c0238,Active bloom confirmed; site closed to recreational use; water supply intake protected.
192bc516-63a8-53aa-a131-68982fc0c7e6,e967cd58-d230-511a-8d81-255fab5748a9,2020-01-22T09:15:00,8.95,3.76,97.7,300.83,0.188,0.011,182833,139c6e40-31aa-5666-988e-8b9c18d883be,Dense Lyngbya majuscula bloom; strong musty odour; recreational advisory in effect.
3dc44d1b-a7f2-5168-80ba-b4b776fec3be,ab224cb4-5f16-5681-bee5-02bc215256d6,2024-07-24T07:15:00,7.22,10.01,5.7,1.29,1.738,0.0372,581,,"Fortnightly grab sample; weather overcast, light wind."
67c9541e-45dc-54a8-a17c-a58f75ec7d43,e2a66259-a7bb-52d9-9aaa-33350adee837,2021-01-05T08:30:00,8.67,2.76,45.8,121.42,0.028,0.0605,52722,ca85cd3d-6c4f-50f2-ae15-7d41b6d53a49,Dense Cyclotella meneghiniana bloom; strong musty odour; recreational advisory in effect.
62737994-6b7f-5b6a-a75d-78f692503527,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2023-07-24T09:15:00,6.84,9.14,5.2,2.4,1.647,0.0252,1624,,Water clarity good; no visible algal growth observed at surface.
8de62970-1486-5d52-887b-3def1eb9eaa1,a8948238-32f6-5d28-bf54-0805f1c4affa,2020-01-24T08:45:00,9.61,14.58,90.4,125.53,0.144,0.0339,136574,20d55621-1e25-59cd-84d1-cd62f17d365e,Visible surface scum across the inlet; algaecide application being considered.
d6d138b3-fc48-503a-828a-39aae588effb,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2021-02-13T09:45:00,10.03,12.74,24.8,55.68,0.12,0.0747,21885,139c6e40-31aa-5666-988e-8b9c18d883be,Dense Lyngbya majuscula bloom; strong musty odour; recreational advisory in effect.
3f429121-0e3f-5e38-bfcd-65746055532f,e2a66259-a7bb-52d9-9aaa-33350adee837,2022-06-13T09:15:00,7.48,10.03,5.0,2.83,0.451,0.0197,748,bb7ccfc9-8dd6-5d7f-8049-7693be1a646a,Water clarity good; no visible algal growth observed at surface.
fafd688f-f0ac-5e22-8fed-4bfa16921174,e2a66259-a7bb-52d9-9aaa-33350adee837,2023-02-13T10:15:00,8.95,3.46,39.7,207.84,0.182,0.0539,77493,04762f8c-7329-5da8-8726-bd42e76c1009,pH elevated to 8.95; intense photosynthetic activity driving CO2 depletion.
138571e5-8e65-55d0-b36a-8264ccf891a0,a8948238-32f6-5d28-bf54-0805f1c4affa,2023-05-15T10:00:00,7.59,7.84,4.4,8.02,1.282,0.04,1080,,Water clarity good; no visible algal growth observed at surface.
9f7b0419-919f-53c9-bca9-a698de3b6bdb,dd6bde54-fca1-5c41-913c-cb3783e6199c,2021-02-09T07:00:00,9.64,14.07,76.2,93.2,0.026,0.1034,197756,ca560248-021f-5df5-a733-fe7977306070,Dense Cladophora glomerata bloom; strong musty odour; recreational advisory in effect.
1ecd7614-2c6f-5ced-b7cd-fdf840f5dc53,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2021-01-04T10:00:00,9.62,13.57,39.7,147.68,0.156,0.0788,33529,36f92b99-681f-5cf0-bdfe-7f48ae9882a9,Cell count 33529 cells/mL; DO crash risk overnight; aeration deployed.
d134a1a6-0193-560e-a62c-2f8432d800b1,eca073c0-5e52-579f-bcec-8c21817761a0,2021-01-18T08:00:00,9.25,3.56,122.2,164.56,0.065,0.103,72223,9e0fb491-3df2-50f7-8412-29e49ab46b3a,Dense Anabaena flos-aquae bloom; strong musty odour; recreational advisory in effect.
9212b403-40a0-5fa0-ad34-86099b845c52,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2023-12-21T07:00:00,10.07,12.33,56.4,107.71,0.092,0.0164,119345,139c6e40-31aa-5666-988e-8b9c18d883be,Active bloom confirmed; site closed to recreational use; water supply intake protected.
2af24b92-75cf-5391-a41d-bae752504ccd,eca073c0-5e52-579f-bcec-8c21817761a0,2021-07-08T10:30:00,7.37,10.48,4.7,8.82,1.453,0.0182,1359,,Routine monitoring sample; all parameters within normal range.
b4a258e4-86f5-5a45-b847-60778b2d728f,ab224cb4-5f16-5681-bee5-02bc215256d6,2024-12-06T10:45:00,9.31,4.87,44.1,224.39,0.183,0.0198,170505,20d55621-1e25-59cd-84d1-cd62f17d365e,pH elevated to 9.31; intense photosynthetic activity driving CO2 depletion.
3a600679-ef02-57e4-9130-53a16b732c0b,a113884d-c740-5822-aff6-d6cd26c56d78,2024-12-13T10:45:00,7.18,9.55,4.5,5.31,1.446,0.0209,565,,No odour detected; water colour normal.
7837660b-5d0c-594b-8da1-3530776e0ab1,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2024-08-16T10:45:00,9.21,13.94,26.2,58.33,0.157,0.0421,92051,20d55621-1e25-59cd-84d1-cd62f17d365e,pH elevated to 9.21; intense photosynthetic activity driving CO2 depletion.
4470cc23-4af8-5613-ba5d-ce5ec34272c5,dd6bde54-fca1-5c41-913c-cb3783e6199c,2023-12-28T09:30:00,9.71,12.95,42.5,92.53,0.148,0.087,65636,b645cfbb-2bae-5340-a4ca-762e54c013c0,pH elevated to 9.71; intense photosynthetic activity driving CO2 depletion.
fd161cb7-edca-5ac7-b267-9da80be6c733,a113884d-c740-5822-aff6-d6cd26c56d78,2020-12-06T10:30:00,7.52,7.54,3.0,3.36,1.479,0.0151,1451,,No odour detected; water colour normal.
